dot_number,legal_name,dba_name,physical_city,physical_state,physical_zip,power_units,drivers,annual_mileage,experience_score,safety_score,crash_score,inspection_score,combined_score,fred_score_grade,rank,iss_score,iss_bucket,crash_count,inspection_count,violation_count,insurance_rating,risk_flags
2351,BISSELL-BABCOCK MILLWORK INC,,SHERMAN,NY,14781-9628,1,0,0,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
2408,BELT TRANSFER COMPANY INC,,RAVENSWOOD,WV,26164,4,0,189306,100.0,100.0,100.0,100.0,100.0,C+,35,46,Pass,0,11,8,243.51,
2409,BOGGESS TRUCKING LLC,,NITRO,WV,25143-0218,1,0,15000,100.0,100.0,100.0,100.0,100.0,,,47,Pass,0,1,0,,
2413,BURNS MOTOR FREIGHT INC,,MARLINTON,WV,24954-0149,65,0,3186576,100.0,100.0,90.0,100.0,97.0,C-,49,46,Pass,4,71,42,193.62,High crash frequency (4 crashes); Pattern: Vehicle Maintenance (34 violations)
2451,L J NAVY TRUCKING CO,,CIRCLEVILLE,OH,43113,3,0,1,100.0,100.0,100.0,100.0,100.0,,,29,Pass,0,0,0,,
2460,RHODES BRICK & BLOCK INC,,SAINT ALBANS,WV,25177,13,0,31451,100.0,100.0,100.0,100.0,100.0,,,47,Pass,1,25,7,,High crash frequency (1 crashes)
2477,JOHN S WATSON TRUCKING COMPANY LLC,,WESTON,WV,26452,4,0,22000,100.0,100.0,100.0,100.0,100.0,,,44,Pass,1,0,2,,High crash frequency (1 crashes)
2489,ANDERSON ERICKSON DAIRY COMPANY,AE,DES MOINES,IA,50317,175,0,4070000,100.0,100.0,85.0,100.0,95.5,F,58,40,Pass,8,57,41,242.3,High crash frequency (8 crashes); Pattern: Vehicle Maintenance (25 violations); Pattern: Unsafe Driving (15 violations)
2497,ALTER TRUCKING AND TERMINAL CORPORATION,,BETTENDORF,IA,52722,5,0,1,100.0,100.0,100.0,100.0,100.0,,,29,Pass,0,0,0,,
2516,BARTON SOLVENTS INC,,DES MOINES,IA,50313,107,0,3760083,100.0,100.0,100.0,100.0,100.0,C+,36,45,Pass,2,235,90,187.78,High crash frequency (2 crashes); Pattern: Vehicle Maintenance (62 violations); Pattern: Hazardous Materials Compliance (14 violations)
2556,CAROL BARCLAY TRUCKING,,HOMER,NE,68030,2,0,4191,100.0,100.0,100.0,70.0,94.0,,,34,Pass,0,1,0,,High OOS rate (100.0%)
2566,C & H HEAVY DUTY SPECIALIST INC,C & H TOWING SERVICE,SOUTH SIOUX CITY,NE,68776,4,0,32757,100.0,100.0,100.0,100.0,100.0,,,48,Pass,0,1,0,,
2575,H & I TRUCKING LLC,,HETLAND,SD,57212,11,0,575000,100.0,100.0,100.0,80.0,96.0,C-,50,38,Pass,2,12,39,500,High crash frequency (2 crashes); Elevated OOS rate (41.7%); Pattern: Vehicle Maintenance (37 violations)
2588,MERRILL LARSON TRANSFER INC,,OAKLAND,NE,68045,10,0,829822,100.0,100.0,100.0,100.0,100.0,C+,37,30,Pass,1,19,3,133.8,High crash frequency (1 crashes)
2636,LEWIS & SON TRUCKING LLC,,GLASGOW,MO,65254,1,0,53922,100.0,100.0,100.0,100.0,100.0,,,46,Pass,0,2,0,,
2662,STAN ALLES,STAN ALLES TRANSPORT,FRESNO,CA,93723,14,0,950000,100.0,100.0,100.0,100.0,100.0,C+,38,29,Pass,1,32,15,189.66,High crash frequency (1 crashes)
2955,TREVIS BERRY TRANSPORTATION,,GILROY,CA,95020,49,0,2785446,100.0,100.0,100.0,100.0,100.0,C,39,46,Pass,1,302,65,168.12,High crash frequency (1 crashes); Pattern: Vehicle Maintenance (56 violations)
